ticks
AAK
ABB
ALFA
ALIV-SDB
AOI
ASSA-B
ATCO-A
ATCO-B
ATRLJ-B
AXFO
AXIS
AZN
BILL
BOL
CAST
COMH
EKTA-B
ELUX-A
ELUX-B
ENQ
ERIC-A
ERIC-B
FABG
GETI-B
HEXA-B
HM-B
HOLM-A
HOLM-B
HPOL-B
HUFV-A
HUFV-C
HUSQ-A
HUSQ-B
ICA
INTRUM
INDU-A
INDU-C
INVE-A
INVE-B
JM
KINV-A
KINV-B
LATO-B
LUMI
LUND-B
LUPE
MEDA-A
MELK
MIC-SDB
MTG-A
MTG-B
NCC-A
NCC-B
NDA-SEK
NIBE-B
ORI-SDB
PEAB-B
RATO-A
RATO-B
RATO-PREF
SAAB-B
SAND
SCA-A
SCA-B
SEB-A
SEB-C
SECU-B
SHB-A
SHB-B
SKA-B
SKF-A
SKF-B
SOBI
SSAB-A
SSAB-B
STE-A
STE-R
SWED-A
SWMA
TEL2-A
TEL2-B
TIEN
TELIA
TREL-B
VOLV-A
VOLV-B
WALL-B
ACTI
ADDT-B
AERO-B
AF-B
ARCM
AZA
BACTI-B
BALD-B
BALD-PREF
BBTO-B
BEF-SDB
BEIA-B
BEIJ-B
BETS-B
BILI-A
BIOG-B
BMAX
BUFAB
BURE
CATE
CCC
QLRO
CLA-B
CLAS-B
COIC
CORE
CORE-PREF
CRED-A
DIOS
DUNI
ECEX
ENRO
ENRO-PREF
FAG
FING-B
FOI-B
FPAR
FPAR-PREF
GUNN
HEBA-B
HEMF
HIQ
HLDX
IFS-A
IFS-B
INDT
ITAB-B
KAHL
KLED
KLOV
KLOV-PREF
LAGR-B
LIAB
LOOM-B
LUC
MEKO
MVIR-B
NET-B
NEWA-B
NGQ
NMAN
NN-B
NOBI
NOLA-B
OEM-B
OPUS
ORES
ORX
PLAZ-B
PROE-B
PXXS-SDB
RECI-B
REZT
SAGA-A
SAGA-B
SAGA-PREF
SAS
SAS-PREF
SCST
SECT-B
SKIS-B
SMF
SNTC
SWEC-A
SWEC-B
SWOL-B
SYSR
TETY
TRI
TRMO
KIND-SDB
VICP-A
VICP-B
VICP-PREF
VNIL-SDB
WIHL
ACAN-B
ACAP-A
ACAP-B
ALNX
ANOD-B
ANOT
ARISE
ARP
ASP
ATEL-A
AVEG-B
BEGR
BELE
BESQ
BINV
BIOT
BONG
BORG
BOUL
BRG-B
BTS-B
CCOR-B
CEVI
CNTA
CONS-B
CSN
CTT
CYBE
DEDI
DGC
DORO
DURC-B
ELAN-B
ELEC
ELOS-B
ENDO
ENEA
EPIS-B
ETX
EWRK
FBAB
FEEL
FPIP
G5EN
GHP
GVKO-B
HAV-B
HEMX
HMS
IAR-B
ICTA-B
IS
KABE-B
KARO
KDEV
KNOW
LAMM-B
MEAB-B
MIDW-A
MIDW-B
MOB
MQ
MSAB-B
MSC-B
MSON-A
MSON-B
MULQ
MYCR
NAXS
NETI-B
NOMI
NOTE
NOVE
NSP-B
NTEK-B
NVP
OASM
ODD
OPCO
ORTI-A
ORTI-B
PACT
PAR
PART
POOL-B
PREC
PREV-B
PRIC-B
PROB
PROF-B
RABT-B
RAY-B
REJL-B
RNBS
RROS
RSOF-B
RTIM-B
SEAM
SEMC
SENS
SHEL-B
SINT
SOF-B
STWK
SVED-B
SVIK
SVOL-A
SVOL-B
TAGR
TRAC-B
TRAD
TWW-SDB-A
TWW-SDB-B
UFLX-B
VBG-B
VIT-B
VITR
VRG-B
XANO-B
